,Unnamed: 0,#,Name,Team,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,Year
595,597,596,Matthew Boyd,DET,5,5,5.45,15,15,0,0,0,0,0,71.0,303,69,46,43,11,25,0,2,2,0,73,2023
598,600,599,Bryan Hoeing,MIA,2,3,5.48,33,7,0,0,0,1,0,70.2,304,71,45,43,13,25,2,2,1,0,53,2023
603,605,604,Austin Gomber,COL,9,9,5.5,27,27,0,0,0,0,0,139.0,603,164,88,85,26,43,1,3,5,0,87,2023
605,607,606,Brady Singer,KCR,8,11,5.52,29,29,0,0,0,0,0,159.2,702,182,102,98,20,49,0,8,3,0,133,2023
608,610,609,Ty Blach,COL,3,3,5.54,20,13,0,0,0,0,0,78.0,352,104,51,48,15,24,0,6,1,0,50,2023
610,612,611,Trevor Williams,WSN,6,10,5.55,30,30,0,0,0,0,0,144.1,659,178,97,89,34,53,1,5,0,2,111,2023
612,614,613,Taj Bradley,TBR,5,8,5.59,23,21,0,0,0,0,0,104.2,460,106,69,65,23,39,0,1,6,0,129,2023
618,620,619,Jaime Barria,LAA,2,6,5.68,34,6,0,0,0,2,2,82.1,362,91,63,52,20,30,6,2,4,1,62,2023
619,621,620,Alec Marsh,KCR,3,9,5.69,17,8,0,0,0,0,0,74.1,342,77,50,47,16,39,0,9,1,0,85,2023
621,623,622,Brandon Pfaadt,ARI,3,9,5.72,19,18,0,0,0,0,0,96.0,421,109,63,61,22,26,0,3,0,0,94,2023
623,625,624,Lance Lynn,- - -,13,11,5.73,32,32,0,0,0,0,0,183.2,808,189,127,117,44,67,1,9,3,0,191,2023
626,628,627,Jared Shuster,ATL,4,3,5.81,11,11,0,0,0,0,0,52.2,230,53,34,34,7,26,0,1,3,0,30,2023
627,629,628,Ryan Feltner,COL,2,4,5.82,10,10,0,0,0,0,0,43.1,201,45,29,28,2,28,0,2,0,2,38,2023
630,632,631,Osvaldo Bido,PIT,2,5,5.86,16,9,0,0,0,0,0,50.2,236,55,35,33,4,21,0,8,1,0,48,2023
632,634,633,Alek Manoah,TOR,3,9,5.87,19,19,0,0,0,0,0,87.1,415,93,61,57,15,59,1,9,3,3,79,2023
640,642,641,Jalen Beeks,TBR,2,3,5.95,30,8,0,0,1,2,1,42.1,192,42,28,28,4,21,0,1,3,0,47,2023
642,644,643,Dallas Keuchel,MIN,2,1,5.97,10,6,0,0,0,0,0,37.2,172,45,25,25,3,18,0,2,2,0,25,2023
649,651,650,Johnny Cueto,MIA,1,4,6.02,13,10,0,0,0,0,0,52.1,218,51,36,35,17,15,0,3,0,0,39,2023
654,656,655,Michael Grove,LAD,2,3,6.13,18,12,0,0,0,1,0,69.0,302,83,47,47,12,19,0,3,3,0,73,2023
657,659,658,Jake Woodford,STL,2,3,6.23,15,8,0,0,0,0,0,47.2,222,61,34,33,11,22,0,3,3,0,29,2023
662,664,663,Jordan Lyles,KCR,6,17,6.28,31,31,3,0,0,0,0,177.2,748,176,130,124,39,45,0,6,10,0,120,2023
664,666,665,Nick Lodolo,CIN,2,1,6.29,7,7,0,0,0,0,0,34.1,166,50,24,24,10,10,1,7,2,0,47,2023
667,669,668,James Kaprielian,OAK,2,6,6.34,14,11,0,0,0,0,1,61.0,280,66,45,43,9,31,1,5,3,0,57,2023
670,672,671,Mike Soroka,ATL,2,2,6.4,7,6,0,0,0,0,0,32.1,145,36,23,23,9,12,0,4,2,0,29,2023
