UID,PA,Name
16535,394.8,Danny Jansen
16542,325.6,Shed Long
16556,657.0,Ozzie Albies
16565,408.0,Mark Zagunis
16572,442.0,Connor Joe
16578,464.6,Yandy Diaz
16622,527.2,Luis Urias
16623,114.2,Greg Allen
16725,360.0,Jose Trevino
16729,124.6,Brian O'Grady
16839,465.0,Braxton Lee
16852,105.8,John Nogowski
16885,487.8,Josh Fuentes
16909,577.8,Colin Moran
16925,200.0,Aramis Garcia
16930,251.4,Jonah Heim
16939,235.2,Lane Thomas
16947,89.2,Derek Hill
16953,65.2,Chad Tromp
16997,627.0,Gleyber Torres
17005,406.0,Gavin Cecchini
17016,471.0,Rusney Castillo
17022,221.4,Edmundo Sosa
17023,210.8,Magneuris Sierra
17027,582.2,Alex Verdugo
17062,216.4,Grayson Greiner
17098,147.2,Dustin Fowler
17109,114.8,Meibrys Viloria
17128,608.0,Ramon Laureano
17161,256.2,Chad Wallach
17171,432.0,Yasmany Tomas
17216,131.8,Monte Harrison
17232,627.4,Yoan Moncada
17273,169.4,Jorge Mateo
17276,176.4,Alex Jackson
17278,165.8,Bobby Bradley
17321,329.0,Michael Chavis
17326,432.0,Cole Tucker
17338,535.0,Willi Castro
17350,657.6,Rafael Devers
17423,92.2,Yermin Mercedes
1744,566.0,Miguel Cabrera
17468,109.2,Kelvin Gutierrez
17484,624.0,Eloy Jimenez
17548,179.8,Taylor Ward
17620,494.2,Myles Straw
17642,216.5,J.T. Riddle
17678,654.6,Alex Bregman
17684,208.0,Vimael Machin
17689,515.0,Kevin Kramer
17696,505.0,Kevin Newman
17710,232.8,Matt Beaty
17714,186.4,Christin Stewart
17719,169.8,Steven Duggar
17723,119.0,Skye Bolt
17736,181.6,Richie Martin Jr.
17738,119.0,Chris Shaw
17750,124.0,Max Schrock
17766,411.0,D.J. Stewart
17806,141.8,Braden Bishop
17838,523.0,Willie Calhoun
17839,158.0,Luis Alexander Basabe
17901,565.2,Andrew Benintendi
17907,502.0,Brendan Rodgers
17919,595.0,Ian Happ
17922,382.0,Isan Diaz
17929,282.0,Cedric Mullins II
17932,297.0,Andrew Stevenson
17954,499.4,Sam Hilliard
17975,484.4,Scott Kingery
17982,477.2,Ty France
17988,245.6,Tyler Stephenson
17992,637.4,David Fletcher
18015,631.0,Paul DeJong
18030,530.2,Harrison Bader
18032,149.2,Mark Mathias
18036,490.0,Jake Cronenworth
18042,496.8,Dylan Moore
18054,107.0,Sam Haggerty
18063,114.5,Kyle Garlick
18067,87.4,Garrett Stubbs
18083,127.0,Austin Allen
18126,132.6,LaMonte Wade Jr.
18171,372.8,Seth Brown
18288,202.2,Austin Dean
18289,640.8,Brian Anderson
18314,637.6,Dansby Swanson
18316,335.6,Edwin Rios
18345,636.4,Kyle Tucker
18353,220.4,Daz Cameron
18360,586.8,Austin Riley
18363,625.6,Victor Robles
18365,174.4,Lewin Diaz
18373,568.2,Ryan Mountcastle
18395,118.2,Travis Blankenhorn
18401,675.6,Ronald Acuna Jr.
18551,131.666666667,Ali Sanchez
18564,626.8,Trent Grisham
18568,548.6,Luis Arraez
18577,569.0,Ke'Bryan Hayes
18607,478.4,Jared Walsh
18721,130.2,Guillermo Heredia
18795,120.8,Ramon Urias
18839,491.6,Josh Naylor
18872,291.6,Jahmai Jones
18882,564.2,Brandon Lowe
18887,93.8,Seby Zavala
18889,189.6,Danny Mendick
18900,537.8,Leody Taveras
1907,410.0,Andres Blanco
19151,100.6,Estevan Florial
19181,209.2,Zack Collins
19197,408.8,Will Smith
19198,597.0,Yuli Gurriel
19238,571.2,Lourdes Gurriel Jr.
19251,633.0,Pete Alonso
19252,618.2,Cavan Biggio
19260,177.4,Jake Fraley
19262,378.0,Garrett Hampson
19267,150.4,Will Craig
19287,178.333333333,Adolis Garcia
19290,585.8,Randy Arozarena
19293,475.2,Nick Senzel
19294,564.6,Nick Solak
19314,118.8,Donnie Walton
19318,137.6,Matt Thaiss
19326,584.0,Bryan Reynolds
19334,124.2,Yadiel Hernandez
19339,544.2,Nicky Lopez
19346,204.4,Eli White
19352,406.4,Sean Murphy
19363,524.8,Austin Hays
19392,171.0,Zach McKinstry
19452,178.8,Jake Rogers
19470,540.6,Tommy Edman
19508,614.2,Kyle Lewis
19514,271.6,Andrew Knizner
19521,187.4,Andy Young
19533,111.6,Taylor Jones
19552,124.0,Jaylin Davis
19556,532.4,Yordan Alvarez
19566,517.0,Nate Lowe
19577,131.8,Nick Heath
19610,109.4,Keibert Ruiz
19611,618.0,Vladimir Guerrero Jr.
19612,619.6,Bo Bichette
19627,201.6,Brent Rooker
19635,218.0,Sheldon Neuse
19643,402.8,Daniel Johnson Jr.
19683,242.0,Mike Brosseau
19698,363.8,Edward Olivares
19703,129.2,Jake Noll
19709,639.8,Fernando Tatis Jr.
19734,269.6,Josh Rojas
19755,479.8,Shohei Ohtani
19844,173.8,Abraham Toro
19858,143.4,Luis Rengifo
19878,395.2,Adam Haseley
19892,238.4,Pavin Smith
19909,145.0,Anderson Tejeda
19913,108.8,Jesus Sanchez
19918,366.0,Daulton Varsho
19938,389.0,Aaron Whitefield
19948,519.2,Cristian Pache
19950,432.8,Andres Gimenez
19955,486.6,Gavin Lux
19956,164.0,Mickey Moniak
19958,509.4,Carter Kieboom
19966,531.6,Bobby Dalbec
19968,285.4,Jared Oliva
19977,85.2,Tres Barrera
19997,146.0,Santiago Espinal
20003,621.0,Keston Hiura
20036,272.4,Isaac Paredes
20040,99.75,Jorge Ona
20043,622.6,Luis Robert
20078,586.0,Evan White
20123,665.4,Juan Soto
20126,575.2,Dylan Carlson
20220,315.4,Jo Adell
20275,274.0,Jonathan Arauz
20332,124.2,Luis Gonzalez
20391,372.0,Luis Garcia
20454,274.8,Jasrado Chisholm
20503,127.0,William Contreras
20521,567.6,Nick Madrigal
2136,561.2,David Peralta
21479,490.2,Nico Hoerner
2151,309.4,Edwin Encarnacion
21524,151.6,Joey Bart
21618,601.8,Alec Bohm
21646,171.0,Rafael Marchan
21794,113.8,Sherten Apostel
22209,188.666666667,Samuel Huff
22217,146.0,Luis Campusano
22581,267.6,Alejandro Kirk
23378,267.2,Jose  Garcia
2396,600.6,Carlos Santana
2434,543.2,Nelson Cruz
24618,314.0,Ryan Jeffers
2530,411.0,Yonder Alonso
2539,340.0,Pete Kozma
2616,113.4,Zack Cozart
2636,233.0,Brandon Guyer
27459,339.4,Yoshitomo Tsutsugo
27461,467.8,Shogo Akiyama
2829,215.4,Manny Pina
2830,389.0,Travis Snider
2900,369.4,Roberto Perez
2967,556.2,Tommy Pham
3086,420.4,Mitch Moreland
3142,225.0,Robinson Chirinos
3174,361.8,Shin-Soo Choo
3256,103.8,Welington Castillo
3269,393.0,Robinson Cano
3298,170.2,Charlie Culberson
3353,196.4,Matt Joyce
3410,337.0,Ryan Braun
3411,82.2,Drew Butera
3448,116.8,Jeff Mathis
3473,659.8,Anthony Rizzo
3516,626.6,Eric Hosmer
3648,121.4,Rene Rivera
3711,386.0,Eric Thames
3892,443.4,Josh Reddick
4022,420.0,Melky Cabrera
4054,244.0,Emilio Bonifacio
4062,443.8,Dexter Fowler
4106,583.4,Michael Brantley
4220,203.6,Ryan Zimmerman
4229,357.0,Howie Kendrick
4243,302.0,Jose Lobaton
4249,320.0,Shane Robinson
4298,164.2,Matt Wieters
4314,624.0,Joey Votto
4316,411.0,Daniel Murphy
4418,226.666666667,Jed Lowrie
4579,539.8,Starlin Castro
4616,266.0,Russell Martin
4779,378.0,Rymer Liriano
4866,222.2,Jarrod Dyson
4892,603.8,Mike Moustakas
4922,342.2,Ender Inciarte
4940,548.0,Jason Heyward
4949,557.2,Giancarlo Stanton
4962,374.8,Asdrubal Cabrera
5000,248.6,Stephen Vogt
5038,551.0,Josh Donaldson
5124,231.0,Wilkin Castillo
5222,536.6,Justin Upton
5223,243.0,Cameron Maybin
5227,156.8,Jon Jay
5235,523.4,Justin Turner
5254,523.8,Robbie Grossman
5273,103.2,Sandy Leon
5275,303.0,Francisco Cervelli
5277,239.0,Tuffy Gosewisch
5297,569.4,Aaron Hicks
5343,538.6,Brandon Crawford
5361,673.8,Freddie Freeman
5384,128.25,Juan Lagares
5398,261.0,Juan Graterol
5409,117.2,Pablo Sandoval
5417,632.2,Jose Altuve
5452,449.2,Ji-Man Choi
5486,120.2,Abraham Almonte
5491,226.2,Austin Romine
5497,396.0,Marwin Gonzalez
5503,478.0,Corban Joseph
5517,249.4,Kyle Higashioka
5631,264.4,Matt Kemp
5667,200.8,Steven Souza Jr.
5751,85.8,Hernan Perez
5760,574.4,Avisail Garcia
5827,355.4,Wilmer Flores
5913,266.0,Leury Garcia
5930,415.8,Nick Markakis
5933,619.4,Jean Segura
6012,581.2,Didi Gregorius
6013,399.0,Cristhian Adames
6153,611.6,Eduardo Escobar
6184,626.2,J.D. Martinez
629,475.0,Brandon Barnes
6448,380.0,Jim Adduci
6547,107.8,Jordy Mercer
6589,70.8,Sean Rodriguez
6609,535.4,Freddy Galvis
6677,302.0,JB Shuck
6848,376.0,Eduardo Nunez
6876,157.8,Mark Trumbo
6885,439.0,Ian Desmond
6887,327.8,Martin Maldonado
6938,382.0,Eric Campbell
7007,402.0,Yadier Molina
7087,92.8,Caleb Joseph
7125,205.0,Alberto Rosario
7168,325.0,Juan Centeno
7185,185.0,Logan Forsythe
7216,98.25,Cesar Puello
7226,432.0,Matt Davidson
7250,299.0,Collin Cowgill
7287,396.0,Carlos Gonzalez
7290,406.0,Jake Elmore
7304,502.8,Salvador Perez
