UID,IP,Name
13164,154.0,Eduardo Rodriguez
13172,1.0,Carson Smith
13182,53.6,Kyle Crick
13183,159.54,Zach Davies
13188,1.0,Adalberto Mejia
13190,44.75,Jordan Weems
13194,17.675,Joe Biagini
13211,1.0,Warwick Saupold
13218,127.6,Michael Fulmer
13273,111.14,Ross Stripling
13276,1.0,Matt Carasiti
13287,57.34,Jesse Hahn
13293,18.65,Daniel Coulombe
1330,1.0,Pedro Beato
13313,1.0,Jordan Jankowski
13322,1.0,Jake Barrett
13323,25.5,James Pazos
13331,1.0,William Cuevas
13339,1.0,Adrian Sampson
13345,56.46,Luis Cessa
13346,26.35,Hoby Milner
13360,44.54,Cam Bedrosian
13361,125.8,Steven Matz
13393,30.15,Brady Rodgers
13394,51.86,Dylan Floro
13395,27.85,Damien Magnifico
13397,50.94,Sam Selman
13398,1.0,Paco Rodriguez
13401,24.0,R.J. Alvarez
13403,68.06,Felix Pena
13418,1.0,Chris Beck
13420,1.0,Matt Koch
13424,1.0,Drew VerHagen
13431,159.6,Marcus Stroman
13435,57.8,Pierce Johnson
13442,24.15,Mike Morin
13449,62.86,Taylor Rogers
1345,1.0,Blake Wood
13453,1.0,Eddie Butler
13470,71.94,Lucas Sims
13475,77.2,Daniel Norris
13483,1.0,Connor Sadzeck
13485,21.15,Sam Tuivailala
13527,49.46,Brandon Brennan
13528,29.65,Matt Bowman
13530,1.0,Alejandro Chacin
13533,20.14,Andrew Triggs
13543,152.46,Blake Snell
13549,63.06,Richard Rodriguez
13560,39.0,Alec Asher
13572,1.0,Justin Haley
13580,1.0,Steven Okert
13594,58.86,Robert Stephenson
13606,1.0,Shawn Morimando
13607,13.75,Carl Edwards Jr.
13616,34.5,Taylor Guerrieri
13619,102.06,Jakob Junis
13629,30.35,Josh D. Smith
13649,27.94,Clay Holmes
13652,1.0,Tayler Scott
13654,47.85,Jharel Cotton
13677,28.425,Corey Oswalt
13684,59.54,John Gant
13685,1.0,Nick Goody
13688,1.0,Ryan Merritt
13690,55.46,Sal Romano
13696,37.54,Robert Gsellman
13699,26.8,Jake Faria
13707,31.0,Joey Krehbiel
13713,4.66666666667,Kyle Barraclough
13736,1.0,Michael Roth
13743,164.2,Max Fried
13758,61.86,Tyler Duffey
13761,70.34,Chris Stratton
13763,21.54,Dominic Leone
13764,25.0,Roberto Osuna
13767,1.0,JT Chargois
13774,162.6,Zach Eflin
13780,1.0,Daniel Stumpf
13781,123.46,Alex Wood
13796,1.0,Tyler Wagner
13799,60.8,Matt Strahm
13801,50.66,Austin Adams
13804,48.35,Walker Lockett
13818,1.0,Chris O'Grady
13834,139.46,Alec Mills
13892,28.5,Paul Sewald
13896,109.0,Chris Flexen
13911,31.14,Scott Oberg
13932,56.85,Dietrich Enns
13942,75.66,Brent Suter
13946,1.0,Tim Peterson
13974,28.15,Ryan Dull
14016,29.35,Ryan Garton
14033,1.0,Mike Hauschild
14078,119.0,Michael Wacha
14093,9.85,Michael Ynoa
14099,1.0,Cesar Vargas
14101,27.2333333333,Branden Kline
14107,165.06,Kevin Gausman
14120,148.94,Lance McCullers Jr.
14139,1.0,Miguel Almonte
14151,34.675,Chris Mazza
14165,31.65,Rob Whalen
14168,184.06,Jose Berrios
14169,53.46,Kyle Zimmer
14200,1.0,Shae Simmons
14212,64.66,Josh Hader
14239,1.0,Dario Alvarez
14241,1.0,Austin Maddox
14244,39.25,Ray Black
14272,37.65,Brian Johnson
14288,26.4,Luke Bard
14295,39.94,Wandy Peralta
14309,137.4,Frankie Montas
