#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,Year
473.0,Joey Votto,CIN,91.0,322.0,376.0,66.0,36.0,18.0,1.0,11.0,31.0,41.0,44.0,0.0,97.0,10.0,0.0,0.0,8.0,0.0,0.0,0.205,2022
474.0,Jason Heyward,CHC,48.0,137.0,151.0,28.0,21.0,5.0,1.0,1.0,15.0,10.0,11.0,0.0,32.0,3.0,0.0,0.0,3.0,1.0,0.0,0.204,2022
475.0,Josh Jung,TEX,26.0,98.0,102.0,20.0,10.0,4.0,1.0,5.0,9.0,14.0,4.0,0.0,39.0,0.0,0.0,0.0,2.0,2.0,0.0,0.204,2022
476.0,Akil Baddoo,DET,73.0,201.0,225.0,41.0,34.0,3.0,2.0,2.0,30.0,9.0,24.0,0.0,64.0,0.0,0.0,0.0,2.0,9.0,6.0,0.204,2022
477.0,Jonah Bride,OAK,58.0,162.0,187.0,33.0,28.0,4.0,0.0,1.0,17.0,6.0,19.0,0.0,32.0,4.0,1.0,1.0,4.0,1.0,0.0,0.204,2022
478.0,Darin Ruf,- - -,119.0,334.0,388.0,68.0,45.0,12.0,0.0,11.0,52.0,45.0,45.0,0.0,105.0,6.0,3.0,0.0,11.0,2.0,0.0,0.204,2022
479.0,Jackie Bradley Jr.,- - -,132.0,344.0,370.0,70.0,42.0,23.0,1.0,4.0,30.0,38.0,24.0,0.0,77.0,0.0,0.0,2.0,5.0,2.0,3.0,0.203,2022
480.0,Brian Serven,COL,62.0,187.0,205.0,38.0,27.0,4.0,1.0,6.0,19.0,16.0,13.0,0.0,44.0,2.0,1.0,2.0,7.0,0.0,0.0,0.203,2022
481.0,Spencer Torkelson,DET,110.0,360.0,404.0,73.0,48.0,16.0,1.0,8.0,38.0,28.0,37.0,0.0,99.0,5.0,2.0,0.0,12.0,0.0,1.0,0.203,2022
482.0,Curt Casali,- - -,57.0,148.0,176.0,30.0,21.0,4.0,0.0,5.0,20.0,17.0,24.0,0.0,50.0,2.0,2.0,0.0,1.0,0.0,0.0,0.203,2022
483.0,Jack Suwinski,PIT,106.0,326.0,372.0,66.0,36.0,11.0,0.0,19.0,45.0,38.0,41.0,1.0,114.0,4.0,1.0,0.0,5.0,4.0,2.0,0.202,2022
484.0,Cavan Biggio,TOR,97.0,257.0,303.0,52.0,27.0,18.0,1.0,6.0,43.0,24.0,38.0,0.0,85.0,6.0,1.0,1.0,2.0,2.0,0.0,0.202,2022
485.0,Carlos Santana,- - -,131.0,431.0,506.0,87.0,50.0,18.0,0.0,19.0,52.0,60.0,71.0,2.0,88.0,2.0,2.0,0.0,9.0,0.0,0.0,0.202,2022
486.0,Yasmani Grandal,CHW,99.0,327.0,376.0,66.0,54.0,7.0,0.0,5.0,15.0,27.0,45.0,1.0,79.0,2.0,2.0,0.0,8.0,1.0,0.0,0.202,2022
487.0,Jonathan Schoop,DET,131.0,481.0,510.0,97.0,62.0,23.0,1.0,11.0,48.0,38.0,19.0,1.0,107.0,6.0,4.0,0.0,15.0,5.0,0.0,0.202,2022
488.0,Dixon Machado,SFG,5.0,15.0,17.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,2022
489.0,Marcus Wilson,SEA,3.0,5.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2022
490.0,Brendon Davis,DET,3.0,10.0,11.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,2022
491.0,Eli White,TEX,47.0,105.0,117.0,21.0,16.0,2.0,0.0,3.0,16.0,10.0,11.0,0.0,41.0,0.0,1.0,0.0,0.0,12.0,1.0,0.2,2022
492.0,Eguy Rosario,SDP,7.0,5.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2022
493.0,Mark Kolozsvary,CIN,10.0,20.0,21.0,4.0,1.0,2.0,0.0,1.0,3.0,3.0,1.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,2022
494.0,Canaan Smith-Njigba,PIT,3.0,5.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,2022
495.0,Vinny Capra,TOR,8.0,5.0,7.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2022
496.0,Zach McKinstry,- - -,57.0,166.0,185.0,33.0,19.0,6.0,3.0,5.0,21.0,14.0,16.0,0.0,52.0,1.0,0.0,2.0,0.0,7.0,0.0,0.199,2022
497.0,Victor Caratini,MIL,96.0,272.0,314.0,54.0,33.0,12.0,0.0,9.0,26.0,34.0,31.0,1.0,67.0,9.0,1.0,1.0,11.0,0.0,0.0,0.199,2022
498.0,Skye Bolt,OAK,42.0,106.0,116.0,21.0,15.0,2.0,0.0,4.0,10.0,13.0,7.0,0.0,30.0,2.0,1.0,0.0,1.0,5.0,0.0,0.198,2022
499.0,Tyler Nevin,BAL,58.0,157.0,184.0,31.0,25.0,4.0,0.0,2.0,17.0,16.0,20.0,0.0,46.0,4.0,3.0,0.0,4.0,0.0,0.0,0.197,2022
500.0,Triston Casas,BOS,27.0,76.0,95.0,15.0,9.0,1.0,0.0,5.0,11.0,12.0,19.0,0.0,23.0,0.0,0.0,0.0,4.0,1.0,0.0,0.197,2022
501.0,Josh Smith,TEX,73.0,213.0,253.0,42.0,35.0,5.0,0.0,2.0,23.0,16.0,28.0,0.0,50.0,7.0,3.0,2.0,1.0,4.0,3.0,0.197,2022
502.0,Aristides Aquino,CIN,80.0,259.0,276.0,51.0,28.0,13.0,0.0,10.0,24.0,30.0,17.0,0.0,101.0,0.0,0.0,0.0,1.0,2.0,3.0,0.197,2022
503.0,Luke Raley,TBR,22.0,61.0,72.0,12.0,9.0,2.0,0.0,1.0,7.0,4.0,7.0,0.0,24.0,3.0,1.0,0.0,1.0,0.0,0.0,0.197,2022
504.0,Michael Stefanic,LAA,25.0,61.0,69.0,12.0,10.0,2.0,0.0,0.0,5.0,0.0,5.0,0.0,12.0,2.0,0.0,1.0,1.0,0.0,0.0,0.197,2022
505.0,Max Muncy,LAD,136.0,464.0,565.0,91.0,47.0,22.0,1.0,21.0,69.0,69.0,90.0,1.0,141.0,5.0,6.0,0.0,2.0,2.0,0.0,0.196,2022
506.0,Taylor Trammell,SEA,43.0,102.0,117.0,20.0,7.0,9.0,0.0,4.0,15.0,10.0,13.0,0.0,33.0,0.0,1.0,1.0,2.0,2.0,1.0,0.196,2022
507.0,Kole Calhoun,TEX,125.0,388.0,424.0,76.0,49.0,14.0,1.0,12.0,36.0,49.0,27.0,0.0,136.0,6.0,3.0,0.0,6.0,3.0,2.0,0.196,2022
508.0,Andrew Velazquez,LAA,125.0,322.0,349.0,63.0,46.0,8.0,0.0,9.0,37.0,28.0,15.0,0.0,119.0,3.0,3.0,6.0,3.0,17.0,1.0,0.196,2022
509.0,James McCann,NYM,61.0,174.0,191.0,34.0,25.0,6.0,0.0,3.0,19.0,18.0,11.0,0.0,46.0,4.0,2.0,0.0,5.0,3.0,0.0,0.195,2022
510.0,Geraldo Perdomo,ARI,148.0,431.0,500.0,84.0,67.0,10.0,2.0,5.0,58.0,40.0,50.0,0.0,103.0,5.0,2.0,12.0,3.0,9.0,2.0,0.195,2022
511.0,Dominic Smith,NYM,58.0,134.0,152.0,26.0,15.0,10.0,1.0,0.0,11.0,17.0,12.0,0.0,37.0,4.0,2.0,0.0,0.0,0.0,0.0,0.194,2022
512.0,Jonathan Aranda,TBR,32.0,78.0,87.0,15.0,9.0,4.0,0.0,2.0,10.0,6.0,8.0,1.0,23.0,1.0,0.0,0.0,1.0,0.0,0.0,0.192,2022
513.0,Gabriel Arias,CLE,16.0,47.0,57.0,9.0,6.0,1.0,1.0,1.0,9.0,5.0,8.0,0.0,16.0,1.0,0.0,1.0,1.0,1.0,0.0,0.191,2022
514.0,Patrick Mazeika,NYM,24.0,68.0,72.0,13.0,8.0,4.0,0.0,1.0,4.0,6.0,2.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.191,2022
515.0,Stephen Piscotty,OAK,42.0,126.0,139.0,24.0,15.0,4.0,0.0,5.0,12.0,14.0,9.0,1.0,48.0,2.0,2.0,0.0,2.0,2.0,0.0,0.19,2022
516.0,Erik Gonzalez,MIA,16.0,37.0,41.0,7.0,6.0,1.0,0.0,0.0,4.0,3.0,4.0,0.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.189,2022
517.0,Jose Herrera,ARI,47.0,111.0,124.0,21.0,19.0,2.0,0.0,0.0,9.0,5.0,9.0,0.0,34.0,0.0,0.0,4.0,1.0,0.0,0.0,0.189,2022
518.0,Seth Beer,ARI,38.0,111.0,126.0,21.0,17.0,3.0,0.0,1.0,4.0,9.0,11.0,1.0,31.0,3.0,1.0,0.0,3.0,0.0,0.0,0.189,2022
519.0,Drew Ellis,- - -,7.0,16.0,17.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188,2022
520.0,Connor Wong,BOS,27.0,48.0,56.0,9.0,5.0,3.0,0.0,1.0,8.0,7.0,5.0,0.0,16.0,1.0,1.0,1.0,0.0,0.0,0.0,0.188,2022
521.0,Miles Mastrobuoni,TBR,8.0,16.0,17.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.188,2022
522.0,Alec Burleson,STL,16.0,48.0,53.0,9.0,7.0,1.0,0.0,1.0,4.0,3.0,5.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.188,2022
523.0,Josh VanMeter,PIT,67.0,171.0,192.0,32.0,22.0,5.0,2.0,3.0,15.0,14.0,19.0,0.0,45.0,0.0,2.0,0.0,3.0,4.0,0.0,0.187,2022
524.0,Greg Allen,PIT,46.0,118.0,134.0,22.0,16.0,4.0,0.0,2.0,17.0,8.0,10.0,0.0,42.0,2.0,1.0,3.0,2.0,8.0,2.0,0.186,2022
525.0,Martin Maldonado,HOU,113.0,344.0,379.0,64.0,37.0,12.0,0.0,15.0,40.0,45.0,22.0,0.0,116.0,7.0,2.0,4.0,6.0,0.0,0.0,0.186,2022
526.0,Tim Locastro,NYY,38.0,43.0,46.0,8.0,5.0,1.0,0.0,2.0,13.0,4.0,2.0,0.0,7.0,1.0,0.0,0.0,0.0,8.0,2.0,0.186,2022
527.0,Jack Mayfield,LAA,23.0,70.0,74.0,13.0,10.0,1.0,1.0,1.0,8.0,6.0,3.0,0.0,17.0,1.0,0.0,0.0,1.0,1.0,0.0,0.186,2022
528.0,Abraham Toro,SEA,109.0,324.0,352.0,60.0,36.0,13.0,1.0,10.0,36.0,35.0,22.0,1.0,65.0,2.0,4.0,0.0,4.0,2.0,0.0,0.185,2022
529.0,Marwin Gonzalez,NYY,86.0,184.0,207.0,34.0,21.0,7.0,0.0,6.0,20.0,18.0,14.0,0.0,54.0,4.0,2.0,3.0,8.0,3.0,0.0,0.185,2022
530.0,Brett Baty,NYM,11.0,38.0,42.0,7.0,5.0,0.0,0.0,2.0,4.0,5.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.184,2022
531.0,Ernie Clement,- - -,70.0,163.0,179.0,30.0,26.0,4.0,0.0,0.0,19.0,6.0,11.0,0.0,26.0,2.0,1.0,2.0,3.0,0.0,1.0,0.184,2022
532.0,Trent Grisham,SDP,152.0,451.0,524.0,83.0,48.0,16.0,2.0,17.0,58.0,53.0,57.0,1.0,150.0,7.0,2.0,7.0,3.0,7.0,1.0,0.184,2022
